,portfolio,benchmark,risk_free,portfolio_return,benchmark_return,excess_return
2006-03-31,5270054.999972636,1141743.59778,0.047230787,-0.0841537116632971,0.012447537229969052,-0.08808961057996377
2006-04-28,5051812.632551441,1157074.746144,0.049748044,-0.04141178174086002,0.013427838258791125,-0.04555745207419335
2006-05-31,4790959.2610844225,1123772.489928,0.050998316,-0.05163559902958503,-0.02878142170761333,-0.0558854586962517
2006-06-30,4743900.9497855455,1125295.93632,0.051015050000000006,-0.00982231505934894,0.0013556537516750122,-0.014073569226015607
2006-07-31,5048135.65219513,1132237.36422,0.050938907000000005,0.06413175688740669,0.006168535472277803,0.05988684797074002
2006-08-31,5490358.202028468,1159176.84798,0.048825006000000004,0.08760116215202007,0.02379314144835587,0.08353241165202008
2006-09-29,5514865.529550681,1189048.839828,0.04714761,0.004463702844225814,0.025770003860977164,0.0005347353442258142
2006-10-31,5754694.329560991,1227795.1927679998,0.04718117,0.04348769679427722,0.0325860062616139,0.039555932627610556
2006-11-30,5414365.412662333,1251143.078088,0.04593295,-0.059139356047191005,0.019016107456296227,-0.06296710188052435
2006-12-29,5868462.0923075015,1268693.730744,0.0455659,0.0838688645918122,0.014027694324793893,0.08007170625847887
2007-01-31,5884189.946498815,1287880.4735039999,0.047584953,0.002680064034481955,0.015123226587356209,-0.0012853487155180454
2007-02-28,5916662.083957143,1262691.058296,0.04724342,0.005518539978072834,-0.019558814444531447,0.0015815883114061674
2007-03-30,6311873.362356261,1276814.116152,0.045604506,0.0667963241420737,0.01118488783397198,0.06299594864207371
2007-04-30,6478151.750741678,1333371.05532,0.046891550000000004,0.02634374595933653,0.04429535862154199,0.022436116792669863
2007-05-31,6821978.446522517,1379899.1082000001,0.047408094,0.05307481346689258,0.03489505242697333,0.04912413896689258
2007-06-29,7178157.529156039,1356974.4636000001,0.051043042999999996,0.052210525938422236,-0.016613275900948965,0.047956939021755574
2007-07-31,6913023.8450467475,1314901.668912,0.049933332999999996,-0.036936175199886345,-0.031004853677483846,-0.04109728628321968
2007-08-31,6423457.491839204,1334612.1670799998,0.04677248,-0.07081797548815383,0.014990092897447571,-0.0747156821548205
2007-09-28,6817445.112935961,1384525.10184,0.04515537,0.06133575595344176,0.03739883090471485,0.05757280845344176
